title,release_date,pageid,qid,rating,popularity,revenue,total_pageview
Requiem for a Dream,2000-10-06,23830211,Q487181,8.027,16.408,7390108,566503
The Pursuit of Happyness,2006-12-14,2162986,Q220515,7.9,42.153,307077295,319466
The Matrix Revolutions,2003-11-05,210998,Q207536,6.71,33.434,424988211,189837
Ice Age: The Meltdown,2006-03-29,2303174,Q190910,6.688,54.381,660998756,78336
Godzilla vs. Kong,2021-03-24,47800119,Q56307503,7.661,99.005,470116094,812950
Star Wars: The Rise of Skywalker,2019-12-18,43910733,Q20977110,6.365,89.699,1074144248,450757
X-Men: The Last Stand,2006-05-24,2029825,Q221168,6.406,1.071,459359555,321395
Hidden Figures,2016-12-10,49955849,Q23755544,8.058,70.299,235956898,538076
Snowpiercer,2013-08-01,35816879,Q492908,6.902,34.597,86758912,412319
Million Dollar Baby,2004-12-15,1287385,Q184255,7.958,20.717,216763646,444126
The Greatest Showman,2017-12-20,44435434,Q27942936,7.908,33.346,432844677,542958
Jojo Rabbit,2019-10-18,56973416,Q54862508,8.042,22.567,82468705,325026
District 9,2009-08-05,20777420,Q201819,7.423,35.709,210819611,244867
Home Alone 2: Lost in New York,1992-11-19,294998,Q221202,6.705,40.283,358994850,323588
The Twilight Saga: New Moon,2009-11-18,20672258,Q116928,6.003,43.688,709827462,128141
Star Trek Into Darkness,2013-05-05,33785882,Q171711,7.328,35.898,467365246,159112
Indiana Jones and the Temple of Doom,1984-05-23,81503,Q179215,7.294,53.304,333000000,268351
Shang-Chi and the Legend of the Ten Rings,2021-09-01,59233722,Q65768589,7.589,89.764,432243292,368269
Alita: Battle Angel,2019-01-31,48226417,Q24053265,7.219,47.667,404980543,230548
We're the Millers,2013-08-07,38337190,Q3566895,6.814,32.293,269994119,281346
The Twilight Saga: Eclipse,2010-06-23,21678052,Q217010,6.214,55.604,698491347,122967
The King's Speech,2010-11-26,25080984,Q160060,7.74,29.833,414211549,170806
Ghostbusters,1984-06-08,205013,Q108745,7.467,29.78,296187079,933338
The Hangover Part III,2013-05-23,35300735,Q2708940,6.211,48.629,362000072,158438
War for the Planet of the Apes,2017-07-11,43718681,Q19938437,7.16,41.094,490719763,1234859
It Chapter Two,2019-09-04,50733124,Q42726338,6.854,72.553,473122525,333273
Dallas Buyers Club,2013-11-01,37617614,Q3520498,7.932,20.121,55736588,234339
Doctor Strange in the Multiverse of Madness,2022-05-04,59353603,Q64211112,7.355,96.53,955775804,501304
Transformers: Revenge of the Fallen,2009-06-19,12319832,Q191100,6.2,14.169,836303693,244539
Jumanji: The Next Level,2019-12-04,56450220,Q60501923,6.931,38.772,801693929,299732
Mean Girls,2004-04-30,10565718,Q631103,7.186,56.332,130126277,1024952
